id,label,adresse,city,dep,cp,type,x,y,localisation,appariement,score
0010155N,Ecole primaire,294 rue La Traversée,Le Poizat-Lalleyriat,1,1130,primaire,46.15398476341199,5.713698156418152,Ville,need_update,
0010844M,Ecole primaire privée Sainte Thérèse,4 montée de l'Abbaye,Nantua,1,1130,primaire,46.15230635733121,5.608910272429396,Numéro de rue,need_update,
0010562F,Ecole primaire,Chemin du Port et de l'école,Varambon,1,1160,primaire,46.039405,5.316796,Rue,need_update,0.6847285805995376
0010128J,Ecole maternelle,64 Avenue Perdtemps,Gex,1,1170,primaire,46.336096725456514,6.058559595937331,Numéro de rue,need_update,
0010137U,Ecole primaire Clément Chazalet,60 Rue des Maures,Echenevex,1,1170,primaire,46.308519886815006,6.035280628580055,Numéro de rue,need_update,
0010297T,Ecole primaire privée Sainte Marie,584 Route de Saint Maurice,Chevry,1,1170,primaire,46.28205088190026,6.043709835717848,Numéro de rue,need_update,
0010325Y,Ecole maternelle,le bourg,Saint-Etienne-sur-Reyssouze,1,1190,primaire,46.41486589993531,4.999020000984798,Ville,need_update,
0010322V,Ecole primaire,le bourg,Reyssouze,1,1190,primaire,46.43298447635665,4.920349628152021,Ville,need_update,
3129,MA LES MILLE PATTES BELLEGARDE,6 Rue H. Berlioz 1200 BELLEGARDE-SUR-VALSERINE,Bellegarde-sur-valserine,1,1200,crèche,46.1052935407287,5.82159420000312,,need_update,
0010226R,Ecole primaire,CHEF LIEU,Arvière-en-Valromey,1,1260,primaire,45.931427448888506,5.759663462765534,Lieu-dit,need_update,
0010334H,Ecole primaire,141 Rue Villa Croteldi,Crottet,1,1290,primaire,46.27716635229152,4.892859743348767,Ville,need_update,
0010336K,Ecole primaire,le bourg,Cruzilles-lès-Mépillat,1,1290,primaire,46.22387238898453,4.882219958271204,Ville,need_update,
0010339N,Ecole primaire,40 chemin des Ecoliers,Laiz,1,1290,primaire,46.24799268738165,4.890619401259847,Ville,need_update,
0010514D,Ecole primaire,8 place de l'église,Groslée-Saint-Benoit,1,1300,primaire,45.713922420334036,5.569987489323094,Rue,need_update,
0010222L,Ecole primaire,1 Place de la Mairie,Ceyzérieu,1,1350,primaire,45.83539487336441,5.726369879757778,Ville,need_update,
0010316N,Ecole élémentaire,le bourg,Saint-Genis-sur-Menthon,1,1380,primaire,46.28212619141473,5.009020490044407,Ville,need_update,
0010386P,Ecole primaire,La gripinière,Bâgé-le-Châtel,1,1380,primaire,46.310333327097496,4.929630054426719,Rue,need_update,
0010256Y,Ecole maternelle,Le bourg,Rancé,1,1390,primaire,45.96535672342781,4.870109961224871,Ville,need_update,
0010264G,Ecole primaire,3 Lotissement le Village,Monthieux,1,1390,primaire,45.956730660370546,4.940089646674852,Ville,need_update,
0010389T,Ecole primaire,le village,Saint-Jean-de-Thurigneux,1,1390,primaire,45.95139585267249,4.882240543024966,Numéro de rue,need_update,
0010390U,Ecole primaire,chef lieu,Chézery-Forens,1,1410,primaire,46.22304663016469,5.868299630114306,Ville,need_update,
0010213B,Ecole primaire,81 Rue de la Poste,Corbonod,1,1420,primaire,45.97121924305585,5.810860612705453,Numéro de rue,need_update,
0010153L,Ecole maternelle Les Tilleuls,14 Rue des Tilleuls,Montréal-la-Cluse,1,1460,primaire,46.174219431220415,5.577389995093219,Numéro de rue,need_update,
